type,term,term_id,variant_of,variant_of_id,plural_of,plural_of_id,romanization_of,romanization_of_id,language_id,language,malignant_meaning,benign_meaning,is_about_nationality,nationalities/0,is_about_ethnicity,athnicities/0,is_about_religion,religions/0,is_about_gender,genders/0,is_about_orientation,orientations/0,is_about_disability,is_about_class,is_archaic,offensiveness,created_on,updated_on,athnicities/1,,,
Discrimatory,jiggers,Krzjwcxzn,,,jigger,GG6AiHUGN,,,eng,English,"Variant of jiggaboo or jigabo, referring to a person of African descent.",A type of movement,N,PH,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,Extremely offensive,16/04/2021 19:00,-0001-11-30 05:17:32,African,,,
Discrimatory,fruities,ECpVBpJVZ,fruit,MXBMtLUJL,fruity,Ghw9F8jrb,,,eng,English,,,N,PH,N,African American,N,Judaism,N,,Y,homosexual,N,N,N,,16/04/2021 19:02,-0001-11-30 05:17:32,African,,,
Discrimatory,dot head,n6Mezkvis,,,,,,,eng,English,"A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.",,Y,IN,Y,African American,N,Judaism,N,,N,homosexual,N,N,N,Very offensive,16/04/2021 18:59,-0001-11-30 05:17:32,African,,,
Discrimatory,Jihadis,tjMwDshhX,,,Jihadi,FUqsyAfJW,,,eng,English,A Muslim.,One who engages in Jihad,N,IN,Y,African American,Y,Islam,N,,N,homosexual,N,N,N,Very offensive,16/04/2021 19:00,-0001-11-30 05:17:32,African,,,
Discrimatory,sawney,8wpjpHerh,,,,,,,eng,English,"A Scottish person, local variant of Sandy, short for 'Alasdair'.",,Y,GB,N,African American,N,Islam,N,,N,homosexual,N,N,Y,Moderately offensive,16/04/2021 18:59,-0001-11-30 05:17:32,African,,,
Discrimatory,Palestinkian,TwvvgTCMs,,,,,,,eng,English,Childish slur for Palestinians,,Y,PS,N,African American,N,Islam,N,,N,homosexual,N,N,N,Moderately offensive,16/04/2021 18:59,-0001-11-30 05:17:32,African,,,
Discrimatory,yellow cab,Lbfb1scCe,,,,,„Ç§„Ç®„É?„Éº„Ç?„É£„Éñ,m4Thtafci,eng,English,,,Y,JP,Y,Japanese,N,Islam,Y,female,N,homosexual,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,Jits,nTsbdqXQJ,,,jit,GgrsryCoU,,,eng,English,A black person.,,N,JP,Y,Japanese,N,Islam,N,female,N,homosexual,N,N,N,Significantly offensive,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,Fenian,8WUAuegut,,,,,,,eng,English,"In Northern Ireland, denotes a Catholic or Irish nationalist",A member of one or more fraternal organisations committed to an independent Ireland in the 19th and early 20th centuries,Y,IE,Y,Irish,Y,Christianity,N,female,N,homosexual,N,N,N,,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,ars,cXj1CAKAq,,,,,?¢?®?°‚Äé `ars,JrcwmxsAb,eng,English,,,N,IE,N,Irish,N,Christianity,N,female,N,homosexual,N,Y,N,Significantly offensive,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,jocks,vLWiRxEx4,,,jock,eHBnNCGTC,,,eng,English,"A Scottish person. Scots language nickname for the personal name John, cognate to the English, Jack. Occasionally used by the English as an insult. but also in respectful reference to elite Scottish, particularly Highland troops, e.g. the 9th (Scottish) Division. Same vein as the English insult for the French, as Frogs.",An athlete or form of athletic protection,N,IE,N,Irish,N,Christianity,N,female,N,homosexual,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,sambo,gpeufcaDt,,,,,,,eng,English,A black person.,,N,IE,Y,Irish,N,Christianity,N,female,N,homosexual,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,mussie,PiDooTevr,,,,,,,eng,English,A Muslim,,N,IE,N,Irish,Y,Islam,N,female,N,homosexual,N,N,N,,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,Fre·?•a,vZVMGzofj,,,,,?§?®?ó?î,MZmNRYxqJ,eng,English,,,N,IE,N,Irish,N,Islam,N,female,N,homosexual,N,Y,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,jungle bunnys,DMRLR4QKb,,,jungle bunny,wworAvhhd,,,eng,English,A black person.,,N,IE,Y,Irish,N,Islam,N,female,N,homosexual,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,WASPy,Z8GJbHcVL,WASP,rsKqeRghi,,,,,eng,English,"Having the stereotypical characteristics of a white, anglo-saxon protestant",,N,IE,Y,European,N,Islam,N,female,N,homosexual,N,N,N,Moderately offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,rube,NzbPacpHX,,,,,,,eng,English,A rural person.,,N,IE,N,European,N,Islam,N,female,N,homosexual,N,Y,N,Significantly offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,pavement ape,TYdufUgxw,,,,,,,eng,English,A black person,,N,IE,Y,African,N,Islam,N,female,N,homosexual,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,gopnik,wAhuHtJZh,,,,,–?–æÃÅ–ø–?–?–?,9THUbZene,eng,English,,,N,IE,N,African,N,Islam,N,female,N,homosexual,N,Y,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,moulinyan,ypawFcnyh,moulie,dFGbcEEJQ,,,,,eng,English,"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.",,N,IE,Y,African,N,Islam,N,female,N,homosexual,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,border hopper,LiGbLtMyv,wetback,LJETWFEpU,,,,,eng,English,"A person of Latino descent, particularly a Mexican migrant laborer.",,N,IE,Y,African,N,Islam,N,female,N,homosexual,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
Discrimatory,pisslam,fCNLggpqy,,,,,,,eng,English,Derogatory portmanteau of 'piss' and 'islam',,N,IE,N,African,Y,Islam,N,female,N,homosexual,N,N,N,Extremely offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,Bihari,rbkcyUhnN,,,,,,,eng,English,Derogatorily used in South India for a North Indian,A person from Bihar,Y,IN,Y,Bihari,N,Islam,N,female,N,homosexual,N,N,N,Significantly offensive,16/04/2021 18:59,-0001-11-30 05:17:32,,,,
Discrimatory,khazars,XKEoMnVYY,,,khazar,B6tDgitYg,,,eng,English,"A Jewish person, from the conversion of the Khazar Empire to Judaism",,N,IN,Y,Bihari,Y,Judaism,N,female,N,homosexual,N,N,N,,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,muzzpigs,aTp6Hvikm,,,muzzpig,JqgmyHUQQ,,,eng,English,Derogatory portmanteau of Muslim and 'pig',,N,IN,N,Bihari,Y,Islam,N,female,N,homosexual,N,N,N,Moderately offensive,16/04/2021 19:00,-0001-11-30 05:17:32,,,,
Discrimatory,gun burglar,i2ayyhNgc,gin jockey,3s4GjtB7R,,,,,eng,English,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,N,IN,Y,Bihari,N,Islam,N,female,N,homosexual,N,N,N,Very offensive,16/04/2021 19:02,-0001-11-30 05:17:32,,,,
Discrimatory,mulignan,9NaDKTeuD,moulie,dFGbcEEJQ,,,,,eng,English,"A black person, used by Italians in US. It is a corruption of melanzane, the Italian word for eggplant.",,N,IN,Y,Bihari,N,Islam,N,female,N,homosexual,N,N,N,Very offensive,16/04/2021 19:03,-0001-11-30 05:17:32,,,,
